질문,답변
도배풀을 제거하는 데 사용된 도구나 소재에 대해 특별히 유의할 점이 있나요?,"도배 후 바닥이나 몰딩, 벽지에 붙은 도배풀을 제거하려면 걸레로 살살 닦아내야 하며 지워지지 않을 시 도배풀 제거제를 사용해야 합니다."
건식방식은 뭐가 있어?,"건식방식은 목구조, 철골구조처럼 규격화된 부재를 조립시공하는 것으로 물과 부재의 건조를 위한 시간이 없어 공기단축이 가능한 시공방식입니다."
건식방식의 다양한 종류에는 어떤 것들이 있나요?,"건식방식은 목구조, 철골구조처럼 규격화된 부재를 조립시공하는 것으로 물과 부재의 건조를 위한 시간이 없어 공기단축이 가능한 시공방식입니다."
왜 실크벽지가 합지 벽지에 비해 필요한 도배사가 더 많아?,실크벽지의 경우 합지벽지와 달리 초배작업이 필요하므로 도배사가 필요합니다.
실크벽지가 합지 벽지에 비해 도배사가 더 많이 필요한 이유가 뭔가요?,실크벽지의 경우 합지벽지와 달리 초배작업이 필요하므로 도배사가 필요합니다.
도배하기 좋은 계절은 언제야?,도배하기 좋은 계절은 봄과 가을입니다. 봄과 가을은 계절적으로 선선하고 상대적으로 습기가 적으므로 하자가 발생할 요인이 적어 도배를 하기에 최적의 시기입니다.
도배를 하는데 가장 이상적인 계절은 어느 때인가요?,도배하기 좋은 계절은 봄과 가을입니다. 봄과 가을은 계절적으로 선선하고 상대적으로 습기가 적으므로 하자가 발생할 요인이 적어 도배를 하기에 최적의 시기입니다.
옥상 방수용 탄성 에멀젼 페인트가 뭐야?,옥상 방수용 탄성 에멀젼 페인트란 동절기의 혹한과 하절기의 혹서에도 효과적인 방수성능을 유지하도록 유연한 탄성을 가지며 콘크리트에 뛰어난 부착성을 갖는 수성타입의 탄성 방수도료입니다.
옥상 방수용 탄성 에멀젼 페인트의 장점과 특징에는 무엇이 있나요?,옥상 방수용 탄성 에멀젼 페인트란 동절기의 혹한과 하절기의 혹서에도 효과적인 방수성능을 유지하도록 유연한 탄성을 가지며 콘크리트에 뛰어난 부착성을 갖는 수성타입의 탄성 방수도료입니다.
벽지에서 크랙이 발생한 경우 어떻게 처리해야 하나요?,크랙을 메우고 깁스 및 스패틀링을 사용하여 표면을 평탄하게 만들어야 합니다.
벽지에서 크랙이 발생했을 때 즉시 처리해야 하는 방법은 무엇인가요?,크랙을 메우고 깁스 및 스패틀링을 사용하여 표면을 평탄하게 만들어야 합니다.
방청페인트 시공방법이 뭐야?,"방청페인트의 시공방법은 피도면 정리, 방청도료 도장, 상도작업 순으로 진행합니다."
방청페인트를 시공하는 방법에 대해 자세히 알려주실 수 있나요?,"방청페인트의 시공방법은 피도면 정리, 방청도료 도장, 상도작업 순으로 진행합니다."
타일 바닥에서 파손된 타일을 교체하는 방법은?,손상된 타일을 제거하고 새로운 타일을 설치하기 위해 접착제와 못을 사용하세요.
타일 바닥에서 파손된 타일을 교체할 때 주의할 사항이 있을까요?,손상된 타일을 제거하고 새로운 타일을 설치하기 위해 접착제와 못을 사용하세요.
배관공사에 사용되는 소제구가 뭐야?,배관공사에 사용되는 소제구란 배수관이 막혔을때 점검과 청소를 하기 위해 설치하는 구멍을 의미합니다.
배관공사에 사용되는 소제구는 무엇인가요?,배관공사에 사용되는 소제구란 배수관이 막혔을때 점검과 청소를 하기 위해 설치하는 구멍을 의미합니다.
배관공사의 통기구가 뭐야?,"배관공사의 통기구는 배관 내부의 공기와 물을 순환시키고, 온도와 압력을 조절하는 역할을 합니다."
배관공사의 통기구는 무엇을 의미하나요?,"배관공사의 통기구는 배관 내부의 공기와 물을 순환시키고, 온도와 압력을 조절하는 역할을 합니다."
방청도료 도장은 어떻게 작업해?,"방청도료 도장은 좁은 부분은 붓을 이용하고, 큰 작업은 스프레이를 활용합니다. 방청도료는 2~3회 도장을 원칙으로 하며, 방청 도료의 종류에 따라 시간을 두고 완전 건조 후 페인트 합니다."
방청도료 도장 작업 방법에 대해 좀 더 자세히 알고 싶습니다.,"방청도료 도장은 좁은 부분은 붓을 이용하고, 큰 작업은 스프레이를 활용합니다. 방청도료는 2~3회 도장을 원칙으로 하며, 방청 도료의 종류에 따라 시간을 두고 완전 건조 후 페인트 합니다."
발수제의 종류는 뭐가 있어?,"발수제 종류는 유성 발수제, 속건형 발수제, 수성발수제가 있습니다."
발수제의 종류에는 어떤 것들이 있나요?,"발수제 종류는 유성 발수제, 속건형 발수제, 수성발수제가 있습니다."
도배할 때 추가비용은 언제 발생해?,"도배 시 시공환경, 발코니 확장 여부, 몰딩 및 문 교체 여부, 벽지 컬러 수 등에 따라 추가비용이 발생할 수 있습니다."
도배 작업 중에 추가비용이 발생하는 경우는 어떤 상황일까요?,"도배 시 시공환경, 발코니 확장 여부, 몰딩 및 문 교체 여부, 벽지 컬러 수 등에 따라 추가비용이 발생할 수 있습니다."
퍼티작업이 뭐야?,퍼티작업이란 페인트 시공을 하기 전 기초 단계로써 석고보드 이음메 부분을 메꿔주고 그 이음메 부분과 면 전체 평활도를 일정하게 맞춰 페인트 시공을 했을 시 깔끔한 면 마감을 만들어주는 가장 중요한 기초작업을 의미합니다.
퍼티작업은 건축 혹은 리모델링 작업 중에 벽이나 천정에 공극을 메우는 작업을 말합니다. 이 작업을 위해 어떤 종류의 퍼티를 사용해야 하는지 알고 계신가요?,퍼티작업이란 페인트 시공을 하기 전 기초 단계로써 석고보드 이음메 부분을 메꿔주고 그 이음메 부분과 면 전체 평활도를 일정하게 맞춰 페인트 시공을 했을 시 깔끔한 면 마감을 만들어주는 가장 중요한 기초작업을 의미합니다.
수성 발수제가 뭐야?,"기조의 유성 용제형 타입의 발수제를 대체하여 수성타입으로 제조된 무독성, 무취의 수성발수제를 의미합니다."
수성 발수제는 무엇을 위해 사용되는 걸까요?,"기조의 유성 용제형 타입의 발수제를 대체하여 수성타입으로 제조된 무독성, 무취의 수성발수제를 의미합니다."
도배작업 시 필요한 공구 좀 알려줘,"도배작업 시 필요한 공구는 기존 벽지를 제거할 벽지 제거용 칼 및 벽지 스크래퍼, 벽면 준비 및 복원을 위한 스패틀링 도구 및 코너래퍼, 벽지를 부착하기 위한 벽지 칼과 도배풀 및 롤러 등이 있습니다."
도배 작업을 위해 필요한 공구에는 무엇이 있나요?,"도배작업 시 필요한 공구는 기존 벽지를 제거할 벽지 제거용 칼 및 벽지 스크래퍼, 벽면 준비 및 복원을 위한 스패틀링 도구 및 코너래퍼, 벽지를 부착하기 위한 벽지 칼과 도배풀 및 롤러 등이 있습니다."
외단열 시공이 내단열 시공에 비해 갖는 장점이 뭐야?,"외단열 시공은 내단열 시공에 비해 단열효과가 좋으며, 면적확보가 용이합니다."
외단열 시공과 내단열 시공의 장점에는 무엇이 있나요?,"외단열 시공은 내단열 시공에 비해 단열효과가 좋으며, 면적확보가 용이합니다."
피도면 정리는 어떻게 작업해?,"피도면 정리는 철 브러쉬나 사포를 이용하여 녹과 용접 찌꺼기, 기름기 등이 없도록 정리해야 합니다."
피도면 정리 작업을 할 때 어떤 도구나 소재를 사용하는 것이 좋을까요?,"피도면 정리는 철 브러쉬나 사포를 이용하여 녹과 용접 찌꺼기, 기름기 등이 없도록 정리해야 합니다."
시트 방수공사가 뭐야?,"시트방수재는 수지를 기본으로 안정제, 향균제, 방염제, 초내후성 안료를 혼합하여 제조한 방수제로 바탕면과 무관하게 시공 가능하며, 외단열 공법으로 에너지를 절감시킬 수 있다는 장점이 있습니다. 또한, 옥상, 지붕 및 판넬 지붕 방수용으로 사용되고, 내약품성을 갖고 있는 제품은 옥상 녹화, 옥상 정원구조에 적합하며 구조물의 진동, 균열, 수축, 팽창 등이 예상되는 장소에 적합하고 시트 이음매를 접합하여 일체화하는 방식이므로 누수가 없다는 장점이 있습니다."
시트 방수공사는 어떤 공사인가요?,"시트방수재는 수지를 기본으로 안정제, 향균제, 방염제, 초내후성 안료를 혼합하여 제조한 방수제로 바탕면과 무관하게 시공 가능하며, 외단열 공법으로 에너지를 절감시킬 수 있다는 장점이 있습니다. 또한, 옥상, 지붕 및 판넬 지붕 방수용으로 사용되고, 내약품성을 갖고 있는 제품은 옥상 녹화, 옥상 정원구조에 적합하며 구조물의 진동, 균열, 수축, 팽창 등이 예상되는 장소에 적합하고 시트 이음매를 접합하여 일체화하는 방식이므로 누수가 없다는 장점이 있습니다."
유성 발수제가 뭐야?,유성 발수제는 시멘트 모르타르나 콘크리트 등에 도장 시 침투하여 표면에 도막이 형성되지 않고 무색 투명한 발수제입니다
유성 발수제는 무엇인가요?,유성 발수제는 시멘트 모르타르나 콘크리트 등에 도장 시 침투하여 표면에 도막이 형성되지 않고 무색 투명한 발수제입니다
겨울에 도배 주의사항 좀 알려줘,"겨울철 도배하기 위한 주의사항을 알려드리겠습니다. 1. 일정한 온도 유지 추운 겨울에는 도배풀이 얼어버릴 수가 있어 보일러, 전열기 등으로 적절한 실내온도를 유지해야 합니다. 2. 고열에 장시간 노출되지 않게 하기 추운 겨울에는 실내 온도를 높이기 위해 전열기를 장시간 사용하는 경우가 많은데, 도배지가 고열에 장기간 노출되면 색상이 변하거나 이음매가 벌어질 수 있습니다. 3. 성급한 환기 자제 도배 시공 직후 냄새를 제거하기 위해 환기를 시키는 경우가 많은데, 춥고 건조한 겨울에 환기를 시키면 도배지가 고르게 건조되지 않아 터질 수가 있어 2일 정도는 창문을 닫아 놓는게 좋습니다."
겨울에 도배할 때 특별히 주의해야 하는 사항이 있을까요?,"겨울철 도배하기 위한 주의사항을 알려드리겠습니다. 1. 일정한 온도 유지 추운 겨울에는 도배풀이 얼어버릴 수가 있어 보일러, 전열기 등으로 적절한 실내온도를 유지해야 합니다. 2. 고열에 장시간 노출되지 않게 하기 추운 겨울에는 실내 온도를 높이기 위해 전열기를 장시간 사용하는 경우가 많은데, 도배지가 고열에 장기간 노출되면 색상이 변하거나 이음매가 벌어질 수 있습니다. 3. 성급한 환기 자제 도배 시공 직후 냄새를 제거하기 위해 환기를 시키는 경우가 많은데, 춥고 건조한 겨울에 환기를 시키면 도배지가 고르게 건조되지 않아 터질 수가 있어 2일 정도는 창문을 닫아 놓는게 좋습니다."
장판 시공 시간은 어떻게 돼?,"일반적으로 장판 시공 시간은 2~3시간으로 알려져 있습니다. 하지만 시공현장의 상태, 시공면적 등에 따라 달라질 수 있으니 자세한 사항은 견적을 받아보시는 것을 추천드립니다."
장판 시공하는 데 얼마나 시간이 걸리나요?,"일반적으로 장판 시공 시간은 2~3시간으로 알려져 있습니다. 하지만 시공현장의 상태, 시공면적 등에 따라 달라질 수 있으니 자세한 사항은 견적을 받아보시는 것을 추천드립니다."
마루나 집 안의 나무 바닥이 닳거나 회색이 된 경우 어떻게 회복하나요?,"마루를 갈아내거나 다시 마감하고, 마루 왁스나 편리한 마루 고무스판을 사용하여 복원하세요."
"마루나 집 안의 나무 바닥이 닳거나 회색이 된 경우, 어떤 방법으로 회복시키는 게 가장 효과적인가요?","마루를 갈아내거나 다시 마감하고, 마루 왁스나 편리한 마루 고무스판을 사용하여 복원하세요."
초배작업이 뭐야?,"도배를 위한 기초작업으로 부직포, 운용지, 네바리 등의 시공을 통틀어 초배작업이라고 합니다."
